1738576120474|GET|/
1738576120490|GET|/css/style.css
1738576477846|GET|/
1738576477872|GET|/css/style.css
1738576551309|GET|/
1738576551311|Noen spurte etter root
1738761420766|GET|/
1738761420882|GET|/css/style.css
1738761421004|HEAD|/
1738761421029|HEAD|/
1738761424118|GET|/favicon.ico
1738761424714|HEAD|/
1738761424722|HEAD|/
1738761764603|HEAD|/
1738761767107|GET|/
1738761767217|GET|/css/style.css
1738761767290|HEAD|/
1738761768360|HEAD|/
1738761768787|HEAD|/
1738761768814|HEAD|/
1738761779688|GET|/
1738761779772|GET|/css/style.css
1738761779902|GET|/favicon.ico
1738762569330|HEAD|/
1738762614386|HEAD|/
1741382419562|New session started for GET /
1741382419569|Session active for GET /
1741382419845|New session started for GET /js/app.js
1741382419846|Session active for GET /js/app.js
1741382419853|New session started for GET /css/style.css
1741382419854|Session active for GET /css/style.css
1741382419941|New session started for GET /favicon.ico
1741382419944|Session active for GET /favicon.ico
1741382419946|New session started for GET /manifest.json
1741382419948|Session active for GET /manifest.json
1741382419951|Session updated for GET /favicon.ico
1741382419974|New session started for GET /icon-192x192.png
1741382419975|Session active for GET /icon-192x192.png
1741382419979|Session updated for GET /icon-192x192.png
1741485214410|New session started for GET /
1741485214411|Session active for GET /
1741485214591|New session started for GET /css/style.css
1741485214592|Session active for GET /css/style.css
1741485214595|New session started for GET /js/app.js
1741485214596|Session active for GET /js/app.js
1741485214666|New session started for GET /favicon.ico
1741485214667|Session active for GET /favicon.ico
1741485214673|Session updated for GET /favicon.ico
1741485214675|New session started for GET /manifest.json
1741485214676|Session active for GET /manifest.json
1741485214695|New session started for GET /icon-192x192.png
1741485214696|Session active for GET /icon-192x192.png
1741485214698|Session updated for GET /icon-192x192.png
1741724380125|New session started for GET /
1741724380132|Session active for GET /
1741724380255|New session started for GET /js/app.js
1741724380261|Session active for GET /js/app.js
1741724380268|New session started for GET /css/style.css
1741724380270|Session active for GET /css/style.css
1741724380648|New session started for HEAD /
1741724380656|Session active for HEAD /
1741724380658|New session started for HEAD /
1741724380659|Session active for HEAD /
1741724380662|New session started for HEAD /
1741724380663|Session active for HEAD /
1741724380720|New session started for HEAD /
1741724380722|Session active for HEAD /
1741724382408|New session started for HEAD /
1741724382411|Session active for HEAD /
1741724382502|New session started for GET /manifest.json
1741724382504|Session active for GET /manifest.json
1741724382758|New session started for GET /favicon.ico
1741724382760|Session active for GET /favicon.ico
1741724382766|Session updated for GET /favicon.ico
1741724382779|New session started for HEAD /
1741724382782|Session active for HEAD /
1741724382795|New session started for GET /icon-192x192.png
1741724382813|Session active for GET /icon-192x192.png
1741724382815|New session started for HEAD /
1741724382816|Session active for HEAD /
1741724382817|Session updated for GET /icon-192x192.png
1741724505397|New session started for GET /
1741724505399|Session active for GET /
1741724505469|New session started for GET /css/style.css
1741724505472|Session active for GET /css/style.css
1741724505475|New session started for GET /js/app.js
1741724505476|Session active for GET /js/app.js
1741724505663|New session started for HEAD /
1741724505665|Session active for HEAD /
1741724506086|New session started for GET /favicon.ico
1741724506094|Session active for GET /favicon.ico
1741724506096|Session updated for GET /favicon.ico
1741724506119|New session started for GET /manifest.json
1741724506124|Session active for GET /manifest.json
1741724506127|New session started for HEAD /
1741724506128|Session active for HEAD /
1741724506276|New session started for HEAD /
1741724506278|Session active for HEAD /
1741724506417|New session started for GET /icons/icon-192x192.png
1741724506419|Session active for GET /icons/icon-192x192.png
1741724506424|New session started for HEAD /
1741724506426|Session active for HEAD /
1741724508017|New session started for GET /icons/icon-512x512.png
1741724508025|Session active for GET /icons/icon-512x512.png
1741724508029|New session started for GET /icons/icon-192x192.png
1741724508033|Session active for GET /icons/icon-192x192.png
1741725054573|New session started for GET /icons/icon-192x192.png
1741725054575|Session active for GET /icons/icon-192x192.png
1741725054579|New session started for GET /icons/icon-512x512.png
1741725054581|Session active for GET /icons/icon-512x512.png
1741725115260|New session started for GET /icons/icon-192x192.png
1741725115262|Session active for GET /icons/icon-192x192.png
1741725115269|New session started for GET /icons/icon-512x512.png
1741725115270|Session active for GET /icons/icon-512x512.png
1741725119830|New session started for HEAD /
1741725119832|Session active for HEAD /
